UPC	Category	Brand	Product Name	Total Weight (g)	Total weight (Oz)	Serving size (g)	Number of Servings	Sugar per serving (g)	Added sugar per serving (g)	Total Sugar (g)	Total Added Sugar (g)	Total Added Sugar (tsp)	type of sugar	Ingredients	pictures	Use Total Sugar?
744473000135	Yogurt	So Delicious	Yogurt: Vanilla	150	5.3	150	1	16	16	16	16	4	Organic cane sugar	"ORGANIC COCONUT MILK (FILTERED WATER, ORGANIC COCONUT CREAM), ORGANIC CANE SUGAR, RICE STARCH, LESS THAN 2% OF NATURAL FLAVOR, CALCIUM CITRATE, PECTIN, LOCUST BEAN GUM, CITRIC ACID, LIVE AND ACTIVE CULTURES, VITAMIN D2, VITAMIN B12 "	"echoforgoodstorage, Vuforia"	Yes
img1	Yogurt	Stonyfield Organic 	Strawberry Whole Milk	907	32	227	4	22	22	88	88	22	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC WHOLE MILK, ORGANIC CANE SUGAR, ORGANIC STRAWBERRY JUICE CONCENTRATE, NATURAL FLAVOR, PECTIN, ORGANIC VEGETABLE JUICE CONCENTRATE (FOR COLOR), VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	Yes
898248001732	Yogurt	Siggi's	Yogurt: Triple Cream Vanilla	114	4	114	1	8		8			Organic agave nectar	"PASTEURIZED WHOLE MILK, PASTEURIZED CREAM, ORGANIC AGAVE NECTAR, MADAGASCAR BOURBON VANILLA, FRUIT PECTIN, LIVE ACTIVE CULTURES "	"echoforgoodstorage, Vuforia"	2nd sent
036632026316	Yogurt	"Dannon, Activia"	Yogurt: Vanilla- 60 calories Nonfat Yogurt	453	16	113	4	6	0	24	0	0	None	"CULTURED GRADE A NON FAT MILK, WATER, MODIFIED FOOD STARCH, INULIN, CONTAINS LESS THAN 1% OF ACACIA GUM, KOSHER GELATIN,  , SUCRALOSE, ACESULFAME POTASSIUM, MALIC ACID, XANTHAN GUM, MILK CALCIUM"	"echoforgoodstorage, Vuforia"	Yes
036632035813	Yogurt	"Dannon, Activia"	strawberry/blueberry	1360	48	113	12	7	0	84	0	0	None	"STRAWBERRY: CULTURED GRADE A NON FAT MILK, STRAWBERRIES, WATER, MODIFIED FOOD STARCH, CONTAINS LESS THAN 1% OF INULIN, ACACIA GUM, KOSHER GELATIN, PECTIN, NATURAL FLAVOR, CARMINE (FOR COLOR), MILK CALCIUM, MALIC ACID, SUCRALOSE, CALCIUM LACTATE, XANTHAN GUM, ACESULFAME POTASSIUM; BLUEBERRY: CULTURED GRADE A NON FAT MILK, BLUEBERRY PUREE, WATER, MODIFIED FOODSTARCH, CONTAINS LESS THAN 1% OF INULIN, ACACIA GUM, KOSHER GELATIN, CARMINE (FORCOLOR), NATURAL FLAVOR, PECTIN, SUCRALOSE, CALCIUM LACTATE, MALIC ACID, MILK CALCIUM, ACESULFAME POTASSIUM, XANTHAN GUM"	"echoforgoodstorage, Vuforia"	Yes
052159000011	Yogurt	Stonyfield Organic 	Plain Whole Milk	907	32	227	4	11	0	44	0	0	None	"CULTURED PASTEURIZED ORGANIC WHOLE MILK, PECTIN, VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	No
052159050009	Yogurt	Stonyfield Organic 	Yogurt: Plain Lowfat	907	32	227	4	12	0	48	0	0	None	"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, PECTIN, VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	No
054319000015	Yogurt	Seven Stars Farm 	Original Plain	907	32	245	4	10	0	40	0	0	None	grade a pasteurized organic whole milk	"echoforgoodstorage, Vuforia"	1st sent
054319000046	Yogurt	Seven Stars Farm 	Lowfat Plain	907	32	245	4	8	0	32	0	0	None	grade a pasteurized organic 1% milk	"echoforgoodstorage, Vuforia"	1st sent
078354303559	Yogurt	Cabot Creamery	Cabot Greek Yogurt Plain	907	31	226	4	5	0	20	0	0	None	"PASTEURIZED MILK, CREAM, WHEY PROTEIN CONCENTRATE, MILK PROTEIN CONCENTRATE, LIVE ACTIVE YOGURT CULTURES, VITAMINES A,C,D,E"	"echoforgoodstorage, Vuforia"	No
079893114125	Yogurt	Open Nature	Greek Strained Nonfat Yogurt Plain	907	32	182	5	6	0	30	0	0	None	CULTURED PASTEURIZED GRADE A NONFAT MILK	"echoforgoodstorage, Vuforia"	No
079893710020	Yogurt	Open Nature	Plain	150	5.3	150	1	5	0	5	0	0	None	CULTURED PASTEUURIZED GRADE A NONFAT MILK	"echoforgoodstorage, Vuforia"	No
099482446789	Yogurt	365 Everyday Value 	Plain Whole Milk Unsweetened	907	32	170	5	7	0	35	0	0	None	"cultured pasteurized organic whole milk, pectin, vitamin d3"	"echoforgoodstorage, Vuforia"	No
689544001737	Yogurt	Fage	0% Milkfat	500	17.6	227	2	7	0	14	0	0	None	"grade A pasteurized skimmed milk, live active yogurt cultures "	"echoforgoodstorage, Vuforia"	No
689544080008	Yogurt	Fage	0% Milkfat	170	6	170	1	5	0	5	0	0	None	"GRADE A PASTEURIZED SKIMMED MILK, LIVE ACTIVE YOGURT CULTURES"	"echoforgoodstorage, Vuforia"	No
689544080206	Yogurt	Fage	Yogurt: FAGE Total 2%	200	7	200	1	6	0	6	0	0	None	"GRADE A PASTEURIZED MILK AND CREAM, LIVE ACTIVE YOGURT CULTURES"	"echoforgoodstorage, Vuforia"	No
689544080602	Yogurt	Fage	Yogurt: 5% Milkfat	200	7	200	1	6	0	6	0	0	None	"GRADE A PASTEURIZED MILK AND CREAM, LIVE ACTIVE YOGURT CULTURES"	"echoforgoodstorage, Vuforia"	No
689544082002	Yogurt	Fage	5% Milkfat	500	17.6	227	2	7	0	14	0	0	None	"grade A pasteurized milk and cream, live active yogurt cultures "	"echoforgoodstorage, Vuforia"	No
689544083016	Yogurt	Fage	Nonfat Greek Yogurt	1000	35.3	227	4	7	0	28	0	0	None	"GRADE A PASTEURIZED SKIMMED MILK, LIVE ACTIVE YOGURT CULTURES (L. BULGARICUS, S. THERMOPHILUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI)"	"echoforgoodstorage, Vuforia"	No
689544083023	Yogurt	Fage	All Natural Lowfat (2% Milkfat) Greek Strained Yogurt	1000	35.3	227	4	7	0	28	0	0	None	"GRADE A PASTEURIZED SKIMMED MILK AND CREAM, LIVE ACTIVE YOGURT CULTURES (L. BULGARICUS, S. THERMOPHILUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI)"	"echoforgoodstorage, Vuforia"	No
740959000019	Yogurt	Butterworks Farm	Nonfat Plain	907	32	227	4	11	0	44	0	0	None	grade a pasteurized certified organic skim milk	"echoforgoodstorage, Vuforia"	1st sent
740959000033	Yogurt	Butterworks Farm	Whole Plain 	907	32	227	4	11	0	44	0	0	None	grade a pasteurized certified organic whole milk	"echoforgoodstorage, Vuforia"	1st sent
819573014556	Yogurt	"Happy Family, happy baby"	Blueberry	300	10.56	50	6	3	0	18	0	0	None	"cultured grade A organic milk, water, organic blueberry puree, <1% of: organic tapioca starch, natural flavors, organic lemon juice concentrate, vitamin d3"	"echoforgoodstorage, Vuforia"	No
819573014570	Yogurt	"Happy Family, Happy Tot"	Apple & Pear	678	24	113	6	8	0	48	0	0	None	"cultured grade A organic milk, water, organic apple puree concentrate, organic pear puree concentrate, <1% of: organic tapioca starch, natural flavors, organic lemon juice concentrate, vitamin d3"	"echoforgoodstorage, Vuforia"	No
